Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-07-23,ZOMATO,EQ,76.0,116.0,138.9,115.0,125.3,126.0,124.12,694895290,8625274742130000.0,2428917,420490932,0.6051
2021-07-26,ZOMATO,EQ,126.0,126.35,143.75,125.3,138.05,140.65,134.63,249723854,3362032435975000.0,1034160,56416984,0.2259
2021-07-27,ZOMATO,EQ,140.65,141.7,147.8,127.75,130.65,132.9,141.09,240341900,3390968426735000.0,1075475,49747283,0.207
2021-07-28,ZOMATO,EQ,132.9,131.0,135.0,123.55,133.0,131.2,127.9,159793731,2043701259205000.0,627048,30085262,0.1883
2021-07-29,ZOMATO,EQ,131.2,134.95,144.0,132.2,142.25,141.55,137.73,117973089,1624879656835000.0,489222,23022932,0.1952
2021-07-30,ZOMATO,EQ,141.55,142.6,142.7,131.0,134.45,133.5,136.46,88312522,1205149378780000.0,348520,18563149,0.2102
2021-08-02,ZOMATO,EQ,133.5,135.75,140.75,135.15,138.45,139.7,138.14,66909732,924263757435000.0,295910,16165382,0.2416
2021-08-03,ZOMATO,EQ,139.7,137.0,140.8,137.0,138.5,139.4,139.04,46610001,648057482625000.0,189764,10292725,0.2208
2021-08-04,ZOMATO,EQ,139.4,139.8,141.0,135.25,137.1,138.4,138.08,41134419,568001705880000.0,175364,9984413,0.2427
2021-08-05,ZOMATO,EQ,138.4,138.75,138.9,132.0,135.3,134.95,134.49,38437134,516955672535000.06,178897,7825860,0.2036
2021-08-06,ZOMATO,EQ,134.95,135.5,136.2,130.1,131.75,131.35,132.41,31975356,423374339795000.0,146049,9971829,0.3119
2021-08-09,ZOMATO,EQ,131.35,132.4,133.55,127.25,130.7,130.6,130.01,41358299,537680852239999.94,202310,10338747,0.25
2021-08-10,ZOMATO,EQ,130.6,131.0,131.45,122.1,125.0,125.2,126.82,43164004,547399562760000.06,223169,10836655,0.2511
2021-08-11,ZOMATO,EQ,125.2,123.0,138.75,123.0,136.9,135.65,131.58,111702781,1469776421990000.0,387786,22430014,0.20079999999999998
2021-08-12,ZOMATO,EQ,135.65,135.65,137.4,132.05,134.25,135.45,134.71,51256670,690496063895000.0,177700,6334352,0.1236
2021-08-13,ZOMATO,EQ,135.45,133.85,139.75,132.1,138.25,137.35,135.44,33674300,456092790350000.0,133386,6472587,0.19219999999999998
2021-08-16,ZOMATO,EQ,137.35,136.4,136.9,132.25,132.8,134.95,135.26,20305361,274642181730000.03,115022,4885242,0.24059999999999998
2021-08-17,ZOMATO,EQ,134.95,132.8,134.35,130.6,132.3,132.5,133.16,15815187,210592327200000.0,68974,5614131,0.355
2021-08-18,ZOMATO,EQ,132.5,134.5,136.8,133.3,134.5,134.95,135.32,22566920,305366930325000.0,106963,4810347,0.2132
2021-08-20,ZOMATO,EQ,134.95,134.95,141.45,133.0,137.45,139.3,138.54,53789580,745182334685000.0,230402,17328381,0.3222
2021-08-23,ZOMATO,EQ,139.3,137.8,137.8,124.75,128.15,127.25,129.97,68470861,889929155125000.0,320725,25948763,0.379
2021-08-24,ZOMATO,EQ,127.25,127.25,127.95,120.5,124.65,125.0,123.88,56713556,702561719390000.0,275805,27172159,0.47909999999999997
2021-08-25,ZOMATO,EQ,125.0,126.0,128.5,123.1,123.5,124.25,126.29,51078811,645074128880000.0,205459,20265331,0.39670000000000005
2021-08-26,ZOMATO,EQ,124.25,125.25,127.15,124.35,125.4,125.85,126.0,20645403,260129754665000.0,104822,6423467,0.3111
2021-08-27,ZOMATO,EQ,125.85,126.6,129.5,124.1,124.95,124.7,126.49,22227595,281155998110000.0,95008,6061056,0.2727
2021-08-30,ZOMATO,EQ,124.7,127.85,135.45,127.55,133.0,133.55,131.26,45239080,593800743830000.0,177439,17691734,0.3911
2021-08-31,ZOMATO,EQ,133.55,134.0,135.2,131.35,134.0,134.55,133.99,24640924,330162666475000.0,119630,7389468,0.2999
2021-09-01,ZOMATO,EQ,134.55,134.55,135.1,130.7,132.25,132.6,132.83,16162269,214682342295000.0,86621,5779757,0.3576
2021-09-02,ZOMATO,EQ,132.6,132.0,138.5,131.5,136.25,137.6,136.52,27882466,380649728730000.0,146911,9277305,0.33270000000000005
2021-09-03,ZOMATO,EQ,137.6,135.95,151.4,135.6,149.0,149.75,146.54,113381518,1661474435075000.0,487984,22627095,0.1996
2021-09-06,ZOMATO,EQ,149.75,149.25,149.35,143.25,144.3,144.05,145.58,34811620,506778776670000.0,211668,8961442,0.25739999999999996
2021-09-07,ZOMATO,EQ,144.05,144.9,146.85,138.55,139.75,140.05,142.2,30421931,432598611845000.0,165594,8052396,0.2647
2021-09-08,ZOMATO,EQ,140.05,141.0,143.6,139.05,141.4,141.25,141.78,28133284,398869078605000.0,153564,7718618,0.27440000000000003
2021-09-09,ZOMATO,EQ,141.25,141.4,142.9,140.0,141.55,141.6,141.54,18970691,268509888750000.0,98680,5353869,0.2822
2021-09-13,ZOMATO,EQ,141.6,143.25,144.25,142.0,142.9,143.15,142.79,17426798,248838399310000.0,131265,6447766,0.37
2021-09-14,ZOMATO,EQ,143.15,145.15,152.75,136.2,143.0,144.1,145.31,112358935,1632738510800000.0,460120,20799720,0.18510000000000001
2021-09-15,ZOMATO,EQ,144.1,142.95,145.0,140.75,143.0,142.65,142.87,38892545,555670436864999.94,156718,24806008,0.6378
2021-09-16,ZOMATO,EQ,142.65,143.0,144.0,141.5,142.2,142.05,142.79,17634206,251794042390000.0,127218,9258503,0.525
2021-09-17,ZOMATO,EQ,142.05,142.55,146.9,137.15,138.2,137.9,141.29,23264091,328708815450000.0,150604,8670925,0.37270000000000003
2021-09-20,ZOMATO,EQ,137.9,137.7,140.85,133.25,133.75,134.3,137.3,19799941,271845898269999.97,128576,6195536,0.3129
2021-09-21,ZOMATO,EQ,134.3,137.2,138.0,131.0,133.5,133.45,133.29,19330196,257646068800000.0,129235,6608863,0.3419
2021-09-22,ZOMATO,EQ,133.45,135.4,135.4,131.3,132.1,132.1,132.52,16923375,224270527285000.0,92803,9077487,0.5364
2021-09-23,ZOMATO,EQ,132.1,134.5,140.4,133.05,137.7,137.3,137.41,31779169,436687659005000.0,168734,14476350,0.45549999999999996
2021-09-24,ZOMATO,EQ,137.3,137.55,139.5,136.05,136.7,136.65,137.83,13099391,180545101765000.0,78353,5384633,0.4111
2021-09-27,ZOMATO,EQ,136.65,139.85,144.75,138.0,143.55,143.7,141.51,26041244,368499844015000.0,144737,11294427,0.4337
2021-09-28,ZOMATO,EQ,143.7,143.9,143.9,137.65,139.25,139.0,140.22,13489232,189146196595000.0,95078,4135333,0.3066
2021-09-29,ZOMATO,EQ,139.0,138.0,139.5,136.5,138.35,138.5,138.13,10801439,149197791675000.0,83843,4422367,0.4094
2021-09-30,ZOMATO,EQ,138.5,139.2,139.2,136.15,136.8,136.6,137.28,7825751,107435609309999.98,68327,3789693,0.4843
2021-10-01,ZOMATO,EQ,136.6,137.3,140.5,137.0,138.2,138.0,138.87,11940576,165820863590000.0,96250,4322764,0.36200000000000004
2021-10-04,ZOMATO,EQ,138.0,139.1,140.0,138.0,138.75,139.1,139.15,11995299,166917056625000.0,101302,5928936,0.4943
2021-10-05,ZOMATO,EQ,139.1,138.75,138.8,137.15,138.0,137.95,137.86,10912142,150433505700000.0,96329,6319193,0.5791
2021-10-06,ZOMATO,EQ,137.95,138.75,139.2,133.7,134.8,134.95,136.98,9988184,136817479465000.02,62569,5350579,0.5357000000000001
2021-10-07,ZOMATO,EQ,134.95,136.75,138.45,136.05,137.25,137.1,137.44,7317664,100576104030000.0,64814,3061810,0.41840000000000005
2021-10-08,ZOMATO,EQ,137.1,138.0,138.0,135.7,136.55,136.15,136.88,6207969,84973583295000.0,77394,3570538,0.5752
2021-10-11,ZOMATO,EQ,136.15,137.5,137.5,136.15,137.0,136.85,136.9,4395523,60175324590000.0,47929,2280681,0.5189
2021-10-12,ZOMATO,EQ,136.85,137.3,137.75,135.5,136.8,136.6,136.81,5600652,76621408500000.0,52103,3151018,0.5626
2021-10-13,ZOMATO,EQ,136.6,137.25,137.4,134.35,135.5,135.45,136.01,6351349,86385294290000.0,57994,3637672,0.5727000000000001
2021-10-14,ZOMATO,EQ,135.45,135.9,137.3,133.7,134.7,135.0,135.44,8688177,117671572240000.02,94323,4826204,0.5555
2021-10-18,ZOMATO,EQ,135.0,136.0,146.15,135.9,144.0,144.05,142.67,31446800,448653132170000.0,202936,13576024,0.43170000000000003
2021-10-19,ZOMATO,EQ,144.05,144.9,145.1,137.25,139.6,138.55,141.28,14688308,207515776495000.0,115329,6523265,0.4441
2021-10-20,ZOMATO,EQ,138.55,138.5,140.4,133.85,138.2,137.9,136.15,12607297,171642414125000.0,107977,5966308,0.4732
2021-10-21,ZOMATO,EQ,137.9,139.75,139.9,135.8,137.5,138.15,137.79,5951873,82013381865000.0,54310,2281120,0.3833
2021-10-22,ZOMATO,EQ,138.15,138.95,142.0,135.8,137.7,137.75,139.01,11468458,159428553260000.0,87476,4152139,0.36200000000000004
2021-10-25,ZOMATO,EQ,137.75,138.0,138.95,131.55,134.0,132.7,133.44,13530512,180550939590000.0,146653,7209394,0.5328
2021-10-26,ZOMATO,EQ,132.7,133.0,137.35,133.0,136.0,135.45,136.03,6445894,87685095160000.0,61558,2817308,0.43710000000000004
2021-10-27,ZOMATO,EQ,135.45,136.2,139.25,134.5,134.9,134.8,136.32,8982174,122443002470000.0,51351,5883489,0.655
2021-10-28,ZOMATO,EQ,134.8,135.35,136.5,131.5,135.5,135.6,133.42,11936370,159258201645000.0,82472,6732757,0.5640999999999999
2021-10-29,ZOMATO,EQ,135.6,135.0,135.0,130.5,131.7,131.55,131.95,12925877,170553618820000.0,107530,6602269,0.5108
2021-11-01,ZOMATO,EQ,131.55,133.6,134.3,132.0,132.55,132.65,133.22,6200243,82597195395000.0,52656,3063502,0.4941
2021-11-02,ZOMATO,EQ,132.65,132.7,133.6,131.75,132.4,132.45,132.63,7367792,97720725510000.0,63828,4091267,0.5553
2021-11-03,ZOMATO,EQ,132.45,132.9,132.9,127.5,128.7,128.35,129.31,15919925,205866162165000.0,128004,7858064,0.4936
2021-11-04,ZOMATO,EQ,128.35,130.0,132.4,130.0,132.25,131.35,131.05,4101820,53755418545000.01,40488,2811502,0.6854000000000001
2021-11-08,ZOMATO,EQ,131.35,132.95,133.6,130.6,131.6,131.15,131.91,17645794,232765215355000.03,139174,10575849,0.5993
2021-11-09,ZOMATO,EQ,131.15,133.0,138.9,131.65,137.65,137.65,135.34,26457361,358079162085000.0,182614,12697460,0.47990000000000005
2021-11-10,ZOMATO,EQ,137.65,136.5,139.15,135.0,136.0,136.05,136.88,16816048,230180004694999.97,131581,7051661,0.4193
2021-11-11,ZOMATO,EQ,136.05,142.0,144.0,132.6,142.0,140.9,140.03,83582039,1170359109935000.0,427129,23104866,0.27640000000000003
2021-11-12,ZOMATO,EQ,140.9,142.0,155.2,142.0,153.1,153.0,149.27,140547798,2097970236730000.0,571574,52470993,0.37329999999999997
2021-11-15,ZOMATO,EQ,153.0,149.0,163.3,142.35,161.2,160.3,153.41,121197599,1859298431640000.2,418142,34139706,0.2817
2021-11-16,ZOMATO,EQ,160.3,161.15,169.0,153.8,155.2,157.6,161.42,109342731,1765017350434999.8,457160,26384729,0.2413
2021-11-17,ZOMATO,EQ,157.6,155.95,162.25,154.25,156.65,156.55,159.59,44505156,710248362045000.0,182785,16058565,0.3608
2021-11-18,ZOMATO,EQ,156.55,158.9,161.85,152.5,155.0,154.7,157.04,46802082,734961078615000.0,240575,13335309,0.2849
2021-11-22,ZOMATO,EQ,154.7,158.25,158.25,136.8,149.85,149.75,147.65,79417849,1172623608335000.0,365808,19142708,0.24100000000000002
2021-11-23,ZOMATO,EQ,149.75,150.0,152.0,144.25,149.25,148.7,149.07,38236588,569999269375000.0,177912,11728381,0.30670000000000003
2021-11-24,ZOMATO,EQ,148.7,151.1,156.4,149.6,153.85,155.5,153.98,53749976,827617527510000.0,237109,20585342,0.383
2021-11-25,ZOMATO,EQ,155.5,157.0,161.3,154.05,159.2,159.75,158.91,48900473,777081165215000.0,231254,15880823,0.3248
2021-11-26,ZOMATO,EQ,159.75,158.45,158.45,146.25,150.05,148.15,151.32,35968151,544283361305000.0,205520,12196422,0.33909999999999996
2021-11-29,ZOMATO,EQ,148.15,148.8,153.9,137.5,150.0,149.1,148.8,43972445,654327847550000.0,236216,13579009,0.3088
2021-11-30,ZOMATO,EQ,149.1,149.95,158.0,145.3,153.1,152.55,152.15,258130152,3927433316530000.5,345170,152554585,0.5910000000000001
