Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,3MINDIA,EQ,21304.7,21350.7,21820.9,21348.85,21750.0,21721.95,21641.04,773,1672852750000.0,445,461,0.5964
2020-01-02,3MINDIA,EQ,21721.95,21621.35,21643.65,21311.0,21375.0,21381.15,21487.04,868,1865075320000.0,540,537,0.6187
2020-01-03,3MINDIA,EQ,21381.15,21521.55,21521.55,21251.0,21276.1,21335.85,21396.74,963,2060505739999.9998,610,492,0.5109
2020-01-06,3MINDIA,EQ,21335.85,21550.0,21550.0,20855.0,21151.0,21089.7,21005.6,1829,3841924765000.0,1050,1087,0.5943
2020-01-07,3MINDIA,EQ,21089.7,21300.0,21876.0,21025.0,21850.0,21660.4,21387.66,6441,13775794610000.0,1302,5158,0.8008
2020-01-08,3MINDIA,EQ,21660.4,21499.95,21575.75,21161.0,21259.0,21238.05,21300.25,1952,4157809535000.0,523,1492,0.7643000000000001
2020-01-09,3MINDIA,EQ,21238.05,21400.0,21550.0,21240.0,21242.0,21272.2,21294.19,2331,4963676825000.0,888,1679,0.7203
2020-01-10,3MINDIA,EQ,21272.2,21377.3,21525.0,21242.0,21473.9,21432.5,21411.01,671,1436678855000.0,376,415,0.6185
2020-01-13,3MINDIA,EQ,21432.5,21435.0,21649.95,21300.1,21570.0,21521.85,21480.17,1391,2987891640000.0,546,959,0.6894
2020-01-14,3MINDIA,EQ,21521.85,21535.0,22000.0,21500.0,22000.0,21931.5,21823.94,1311,2861118125000.0,763,750,0.5721
2020-01-15,3MINDIA,EQ,21931.5,22000.0,22600.0,21857.0,22112.0,22067.95,22120.55,1350,2986274315000.0,717,565,0.41850000000000004
2020-01-16,3MINDIA,EQ,22067.95,22235.0,22400.0,22160.0,22300.0,22320.45,22302.97,941,2098709260000.0002,436,597,0.6344
2020-01-17,3MINDIA,EQ,22320.45,22304.95,22510.0,22301.05,22330.0,22346.9,22424.93,1614,3619383900000.0,458,1196,0.741
2020-01-20,3MINDIA,EQ,22346.9,22500.0,22600.0,22026.0,22202.0,22273.9,22334.87,2271,5072249930000.0,703,1394,0.6138
2020-01-21,3MINDIA,EQ,22273.9,22004.6,22302.3,21999.95,22051.05,22119.65,22025.34,4571,10067784550000.0,520,4123,0.902
2020-01-22,3MINDIA,EQ,22119.65,22115.0,22310.0,22065.15,22310.0,22258.95,22209.81,966,2145467960000.0002,418,809,0.8375
2020-01-23,3MINDIA,EQ,22258.95,22399.85,22458.75,22250.0,22427.0,22409.7,22386.21,671,1502114570000.0,385,480,0.7154
2020-01-24,3MINDIA,EQ,22409.7,22495.0,22600.0,22078.0,22101.0,22338.45,22382.75,2026,4534745495000.0,604,1333,0.6579
2020-01-27,3MINDIA,EQ,22338.45,22201.0,23500.0,22200.0,22344.0,22306.45,22363.76,2517,5628959475000.0,444,2013,0.7998000000000001
2020-01-28,3MINDIA,EQ,22306.45,22480.0,22484.95,22215.0,22405.0,22264.65,22307.43,1484,3310422165000.0,364,1307,0.8806999999999999
2020-01-29,3MINDIA,EQ,22264.65,22587.95,22587.95,22055.15,22250.0,22185.85,22224.37,979,2175766245000.0,692,464,0.474
2020-01-30,3MINDIA,EQ,22185.85,22350.0,22498.85,22100.0,22105.0,22132.3,22290.67,736,1640593410000.0,453,430,0.5842
2020-01-31,3MINDIA,EQ,22132.3,22290.2,24139.9,21888.0,22900.0,22981.25,23168.6,27244,63120534379999.99,9341,7805,0.2865
2020-02-01,3MINDIA,EQ,22981.25,22990.0,23338.95,22055.3,22420.0,22261.6,22899.48,5917,13549625135000.0,1951,3458,0.5844
2020-02-03,3MINDIA,EQ,22261.6,22240.0,23199.95,22000.0,22718.5,22637.05,22759.2,3896,8866985480000.0,2066,2178,0.559
2020-02-04,3MINDIA,EQ,22637.05,22800.0,23661.0,22731.6,23350.0,23090.0,23196.03,8496,19707351100000.0,2583,5938,0.6989
2020-02-05,3MINDIA,EQ,23090.0,23485.0,24100.0,22900.65,23200.0,23082.7,23712.88,13062,30973763605000.0,4903,5692,0.43579999999999997
2020-02-06,3MINDIA,EQ,23082.7,23340.0,23900.0,23105.0,23401.0,23427.7,23474.48,3664,8601047709999.999,1546,1585,0.4326
2020-02-07,3MINDIA,EQ,23427.7,23500.0,24219.6,23125.05,24000.0,24064.95,23808.14,6160,14665813690000.0,2026,4029,0.6541
2020-02-10,3MINDIA,EQ,24064.95,24064.95,24769.0,24000.0,24700.0,24662.45,24509.98,9061,22208491090000.0,2793,5691,0.6281
2020-02-11,3MINDIA,EQ,24662.45,24789.9,25200.0,22435.0,23250.0,23099.05,23862.27,32169,76762533970000.0,9261,14106,0.4385
2020-02-12,3MINDIA,EQ,23099.05,23333.0,23333.0,22200.0,22360.0,22379.95,22626.31,12598,28504628489999.996,4277,7642,0.6066
2020-02-13,3MINDIA,EQ,22379.95,22519.75,22882.0,22427.1,22650.0,22678.4,22654.47,2844,6442931335000.0,1340,1418,0.4986
2020-02-14,3MINDIA,EQ,22678.4,22760.0,22900.0,22207.0,22260.7,22299.95,22608.56,3653,8258905634999.999,1114,2401,0.6573000000000001
2020-02-17,3MINDIA,EQ,22299.95,22305.0,22749.0,22200.0,22210.0,22233.1,22344.78,2131,4761673665000.0,1007,1180,0.5537
2020-02-18,3MINDIA,EQ,22233.1,22350.0,22350.0,22001.0,22100.0,22095.35,22097.11,3707,8191400265000.001,842,2740,0.7391
2020-02-19,3MINDIA,EQ,22095.35,22100.0,22299.9,21740.1,21760.0,21821.0,21950.06,3241,7114013170000.0,1421,2049,0.6322
2020-02-20,3MINDIA,EQ,21821.0,21920.0,21986.5,21602.65,21635.0,21683.4,21784.33,2057,4481036795000.0,842,1445,0.7025
2020-02-24,3MINDIA,EQ,21683.4,21744.0,21744.25,20902.0,21200.0,21287.5,21261.81,5741,12206406490000.0,1950,4465,0.7777
2020-02-25,3MINDIA,EQ,21287.5,21180.0,21350.0,20800.0,20815.0,20881.25,21034.44,2249,4730645185000.0,1050,1397,0.6212
2020-02-26,3MINDIA,EQ,20881.25,20815.0,21100.0,20700.0,20868.0,20771.6,20925.39,3205,6706588630000.0,1112,2102,0.6559
2020-02-27,3MINDIA,EQ,20771.6,20950.0,20950.0,20350.0,20540.0,20565.15,20587.77,2476,5097532915000.0,1081,1479,0.5972999999999999
2020-02-28,3MINDIA,EQ,20565.15,20350.0,20999.7,20300.0,20551.0,20575.25,20699.61,4602,9525961765000.0,2465,1871,0.40659999999999996
2020-03-02,3MINDIA,EQ,20575.25,20805.0,20995.0,20000.0,20100.0,20131.65,20489.82,3958,8109871515000.001,1484,1928,0.48710000000000003
2020-03-03,3MINDIA,EQ,20131.65,20470.0,20995.0,20312.0,20636.0,20632.95,20663.5,7108,14687618405000.002,2360,3048,0.4288
2020-03-04,3MINDIA,EQ,20632.95,20790.0,22599.0,20430.15,22140.0,22335.75,21901.56,39991,87586517900000.0,16719,8547,0.2137
2020-03-05,3MINDIA,EQ,22335.75,22777.0,24349.9,22500.0,22774.0,22885.45,23481.04,51972,122035657255000.0,21851,9570,0.1841
2020-03-06,3MINDIA,EQ,22885.45,22380.0,23638.85,21717.9,22480.0,22601.85,22929.9,19947,45738270020000.0,10073,5525,0.277
2020-03-09,3MINDIA,EQ,22601.85,22000.0,22749.0,20975.0,20975.0,21038.45,21355.1,20648,44094012640000.0,8740,8701,0.4214
2020-03-11,3MINDIA,EQ,21038.45,21190.0,21285.15,20600.0,20621.0,20683.35,20940.89,7387,15469036050000.0,3833,2902,0.3929
2020-03-12,3MINDIA,EQ,20683.35,20000.0,20000.0,18550.0,19101.0,19057.8,19039.13,28300,53880723820000.01,7779,18705,0.6609999999999999
2020-03-13,3MINDIA,EQ,19057.8,18000.0,20050.0,17800.0,19900.0,19682.35,19208.37,14994,28801031595000.0,6810,5982,0.399
2020-03-16,3MINDIA,EQ,19682.35,19200.0,19500.0,18520.0,18655.0,18654.55,18842.9,7405,13953169119999.998,3958,3195,0.4315
2020-03-17,3MINDIA,EQ,18654.55,19100.0,19100.0,18000.0,18058.0,18070.95,18503.29,5774,10683801570000.0,3027,2562,0.4437
2020-03-18,3MINDIA,EQ,18070.95,18249.0,18551.85,17425.05,17550.0,17539.25,17925.01,8048,14426051875000.0,3744,3942,0.48979999999999996
2020-03-19,3MINDIA,EQ,17539.25,17000.0,17546.85,16317.95,16750.0,16931.15,16842.21,12132,20432966495000.0,5961,5258,0.43340000000000006
2020-03-20,3MINDIA,EQ,16931.15,17000.0,17500.0,16900.0,17396.0,17366.3,17195.68,6448,11087774600000.0,2754,3538,0.5487
2020-03-23,3MINDIA,EQ,17366.3,16300.0,16600.0,15701.0,15818.0,15887.25,16039.03,14420,23128281835000.0,4040,10948,0.7592
2020-03-24,3MINDIA,EQ,15887.25,16350.0,16600.0,15890.0,16017.5,16017.5,16289.75,6269,10212045695000.0,3331,3711,0.5920000000000001
2020-03-25,3MINDIA,EQ,16017.5,16019.0,16989.9,15700.0,16850.0,16861.35,16117.75,10888,17549010310000.0,3258,8084,0.7425
2020-03-26,3MINDIA,EQ,16861.35,16860.0,18200.0,16450.0,17999.0,17939.85,17762.33,8775,15586444565000.0,4618,3612,0.41159999999999997
2020-03-27,3MINDIA,EQ,17939.85,18500.0,18500.0,17416.05,17650.0,17648.6,18290.79,13810,25259578635000.0,2129,11629,0.8421
2020-03-30,3MINDIA,EQ,17648.6,17210.0,17490.0,17000.0,17480.0,17436.35,17325.74,2764,4788834890000.0,1422,1402,0.5072
2020-03-31,3MINDIA,EQ,17436.35,17799.9,19400.0,17764.9,19080.05,18827.95,18512.77,6663,12335057320000.0,3088,3492,0.5241
2020-04-01,3MINDIA,EQ,18827.95,19080.05,19080.05,18100.0,18350.0,18469.55,18448.34,2822,5206122720000.0,1802,1300,0.4607
2020-04-03,3MINDIA,EQ,18469.55,18410.0,18650.0,17175.0,17400.05,17490.1,17514.14,7588,13289732760000.0,3561,3359,0.44270000000000004
2020-04-07,3MINDIA,EQ,17490.1,18500.0,18940.0,18000.0,18916.0,18755.7,18489.43,9694,17923652805000.0,4092,4222,0.4355
2020-04-08,3MINDIA,EQ,18755.7,18950.0,19170.0,18155.05,18270.0,18318.2,18497.46,9926,18360581120000.0,4453,4258,0.429
2020-04-09,3MINDIA,EQ,18318.2,18620.0,19450.0,18260.1,18809.1,18941.85,18862.71,7065,13326505630000.0,3855,2444,0.34590000000000004
2020-04-13,3MINDIA,EQ,18941.85,19640.0,19700.0,18650.4,18750.0,18766.75,19070.39,8169,15578599165000.0,3074,5191,0.6355
2020-04-15,3MINDIA,EQ,18766.75,18800.0,18997.2,18482.05,18900.0,18872.8,18818.46,19066,35879276560000.0,3398,16073,0.843
2020-04-16,3MINDIA,EQ,18872.8,18885.0,19840.0,18800.0,19400.0,19605.15,19509.08,10316,20125571175000.0,4892,5413,0.5246999999999999
2020-04-17,3MINDIA,EQ,19605.15,19999.0,19999.0,19393.45,19990.0,19700.3,19671.61,8832,17373969165000.0,1637,7006,0.7933
2020-04-20,3MINDIA,EQ,19700.3,19651.0,19997.0,19354.05,19870.0,19861.05,19719.92,4219,8319834365000.001,2050,2354,0.5579999999999999
2020-04-21,3MINDIA,EQ,19861.05,19799.95,19854.95,19254.95,19260.3,19409.35,19510.31,6149,11996886640000.0,2435,4708,0.7656999999999999
2020-04-22,3MINDIA,EQ,19409.35,19510.0,19649.95,18661.0,18700.0,18719.5,18977.1,10555,20030332470000.0,3386,8062,0.7637999999999999
2020-04-23,3MINDIA,EQ,18719.5,18819.0,18999.0,18601.0,18799.95,18778.75,18878.83,1951,3683260590000.0,919,884,0.45310000000000006
2020-04-24,3MINDIA,EQ,18778.75,18690.0,19199.9,18301.05,19175.0,19130.45,18992.32,12604,23937922320000.0,2323,10600,0.841
2020-04-27,3MINDIA,EQ,19130.45,19401.0,19560.3,19150.0,19510.0,19505.15,19389.03,5023,9739112200000.0,1342,4178,0.8318000000000001
2020-04-28,3MINDIA,EQ,19505.15,19799.0,19799.0,18811.0,19335.0,19297.95,19354.01,1370,2651498965000.0,871,608,0.44380000000000003
2020-04-29,3MINDIA,EQ,19297.95,19489.0,19594.0,19000.0,19400.0,19544.6,19450.59,3547,6899123565000.001,1724,1817,0.5123
2020-04-30,3MINDIA,EQ,19544.6,19559.15,19957.0,19200.3,19255.0,19400.2,19761.21,5403,10676981820000.0,2613,3461,0.6406000000000001
2020-05-04,3MINDIA,EQ,19400.2,19110.05,19240.0,18737.6,18805.0,18828.5,18876.09,2584,4877581570000.0,1356,1612,0.6238
2020-05-05,3MINDIA,EQ,18828.5,18940.0,19000.0,18580.0,18700.0,18655.25,18776.74,1831,3438020465000.0,1044,979,0.5347
2020-05-06,3MINDIA,EQ,18655.25,18847.0,18848.0,18510.05,18700.05,18708.0,18681.57,1374,2566847460000.0,884,785,0.5713
2020-05-07,3MINDIA,EQ,18708.0,18526.0,18897.0,18526.0,18830.0,18878.2,18771.7,1350,2534179820000.0,770,894,0.6622
2020-05-08,3MINDIA,EQ,18878.2,18880.0,19099.95,18501.0,18630.0,18618.7,18786.24,2175,4086006460000.0,1263,1142,0.5251
2020-05-11,3MINDIA,EQ,18618.7,18900.0,18921.9,18100.0,18151.05,18179.1,18417.45,2809,5173461730000.0,1352,1722,0.613
2020-05-12,3MINDIA,EQ,18179.1,18000.0,18299.0,17750.0,18180.0,18107.1,17949.96,2964,5320367575000.0,1817,1631,0.5503
2020-05-13,3MINDIA,EQ,18107.1,18899.0,18899.0,18251.1,18303.0,18316.3,18513.31,2267,4196967985000.0,1035,967,0.4266
2020-05-14,3MINDIA,EQ,18316.3,18310.0,18450.0,17650.1,17745.0,17735.85,17901.16,3758,6727257715000.001,2086,2613,0.6953
2020-05-15,3MINDIA,EQ,17735.85,17800.0,17979.95,17520.0,17600.0,17675.5,17764.82,1750,3108844110000.0,1019,1036,0.5920000000000001
2020-05-18,3MINDIA,EQ,17675.5,17650.0,17650.0,17010.05,17044.15,17048.4,17226.19,3429,5906859635000.0,1645,2321,0.6769
2020-05-19,3MINDIA,EQ,17048.4,17200.0,17348.0,16745.0,16860.0,16830.4,16974.62,2642,4484694630000.0,1201,1754,0.6639
2020-05-20,3MINDIA,EQ,16830.4,16880.0,17700.0,16830.4,17648.0,17524.15,17214.17,2574,4430926370000.0,1429,1180,0.45840000000000003
2020-05-21,3MINDIA,EQ,17524.15,17648.0,18494.0,17507.35,17801.0,17883.3,18084.61,5268,9526973990000.0,2733,1956,0.3713
2020-05-22,3MINDIA,EQ,17883.3,17900.0,18200.0,17600.0,17703.0,17683.15,17786.52,1825,3246040545000.0,1081,757,0.4148
2020-05-26,3MINDIA,EQ,17683.15,17600.0,17650.0,17300.0,17499.95,17520.65,17480.25,1970,3443609510000.0,887,1156,0.5868
2020-05-27,3MINDIA,EQ,17520.65,17688.0,17980.0,17435.1,17880.05,17896.95,17652.6,4632,8176686059999.999,1376,2896,0.6252000000000001
2020-05-28,3MINDIA,EQ,17896.95,17980.9,18293.55,17840.75,17999.95,18014.35,18094.32,2685,4858323675000.0,1129,1608,0.5989
2020-05-29,3MINDIA,EQ,18014.35,18100.0,18600.0,17900.0,18349.0,18299.15,18376.95,8732,16046749919999.998,3577,3948,0.4521
2020-06-01,3MINDIA,EQ,18299.15,18290.0,18479.0,17800.0,18050.0,18057.0,18117.31,6563,11890389545000.0,2599,3431,0.5228
2020-06-02,3MINDIA,EQ,18057.0,18319.0,18449.95,17820.0,17970.0,17966.7,18044.77,49628,89552601165000.0,3187,42814,0.8627
2020-06-03,3MINDIA,EQ,17966.7,17910.0,18287.95,17800.0,17929.95,17911.15,18013.48,36350,65479015245000.01,2201,32972,0.9070999999999999
2020-06-04,3MINDIA,EQ,17911.15,18050.0,18200.0,17922.45,18123.0,18073.05,18063.01,2813,5081126020000.0,1170,1490,0.5297
