Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,5PAISA,EQ,192.5,192.05,211.75,192.05,206.0,205.5,207.27,107432,2226759020000.0,2576,30263,0.2817
2020-01-02,5PAISA,EQ,205.5,206.95,219.75,197.0,210.0,211.3,212.26,76308,1619719970000.0,2628,26456,0.3467
2020-01-03,5PAISA,EQ,211.3,219.9,220.95,210.85,214.0,212.25,215.43,48114,1036513330000.0001,932,21910,0.4554
2020-01-06,5PAISA,EQ,212.25,211.1,218.7,195.3,202.5,198.05,203.21,34398,698991355000.0,1175,20623,0.5995
2020-01-07,5PAISA,EQ,198.05,207.0,210.45,200.75,204.0,204.75,204.33,17367,354866470000.0,572,6919,0.39840000000000003
2020-01-08,5PAISA,EQ,204.75,200.0,203.0,195.0,196.1,195.95,197.53,18103,357584665000.0,698,8453,0.4669
2020-01-09,5PAISA,EQ,195.95,201.5,204.95,193.95,195.05,195.5,197.64,25801,509933325000.0,1151,15648,0.6065
2020-01-10,5PAISA,EQ,195.5,203.5,203.5,192.15,196.0,193.9,194.98,16648,324598735000.0,484,9898,0.5945
2020-01-13,5PAISA,EQ,193.9,193.1,198.0,193.0,195.55,194.95,194.99,4451,86791120000.0,214,2224,0.4997
2020-01-14,5PAISA,EQ,194.95,195.9,214.4,194.95,207.0,207.6,208.44,73107,1523840560000.0,2733,21339,0.2919
2020-01-15,5PAISA,EQ,207.6,211.0,212.0,204.05,209.15,209.05,209.04,22734,475237640000.00006,894,11356,0.49950000000000006
2020-01-16,5PAISA,EQ,209.05,206.0,216.0,198.0,206.55,206.75,208.45,24412,508867690000.00006,488,13361,0.5473
2020-01-17,5PAISA,EQ,206.75,215.0,215.0,196.55,199.35,200.1,200.15,28772,575866515000.0,872,15232,0.5294
2020-01-20,5PAISA,EQ,200.1,200.0,206.65,197.15,200.0,199.2,199.53,7996,159541120000.0,298,4394,0.5495
2020-01-21,5PAISA,EQ,199.2,198.0,199.0,192.95,196.2,197.05,196.84,7505,147726595000.0,247,4104,0.5468000000000001
2020-01-22,5PAISA,EQ,197.05,198.0,198.0,189.0,189.0,191.05,193.14,8548,165099065000.0,306,7572,0.8858
2020-01-23,5PAISA,EQ,191.05,189.0,199.9,189.0,191.35,192.1,194.3,34476,669878345000.0,873,16341,0.474
2020-01-24,5PAISA,EQ,192.1,198.95,198.95,192.1,194.5,194.45,194.93,4156,81012440000.0,119,2763,0.6648000000000001
2020-01-27,5PAISA,EQ,194.45,193.05,198.0,191.55,192.0,192.3,194.05,15352,297904670000.0,266,10550,0.6872
2020-01-28,5PAISA,EQ,192.3,196.65,196.7,191.0,191.0,192.2,193.53,12050,233200600000.0,310,6865,0.5697
2020-01-29,5PAISA,EQ,192.2,197.0,197.0,176.0,192.2,191.4,190.4,6100,116145150000.0,197,3290,0.5393
2020-01-30,5PAISA,EQ,191.4,193.55,193.55,185.25,192.25,190.9,190.21,5795,110226275000.0,251,3301,0.5696
2020-01-31,5PAISA,EQ,190.9,190.95,193.8,185.45,188.2,187.3,188.84,11725,221415735000.0,275,5807,0.4953
