Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,ABFRL,EQ,231.7,232.9,236.85,230.15,232.85,234.1,234.57,241005,5653288485000.0,4836,79395,0.32939999999999997
2020-01-02,ABFRL,EQ,234.1,232.65,249.7,232.6,240.65,240.9,241.16,1143769,27583402595000.0,13585,685865,0.5997
2020-01-03,ABFRL,EQ,240.9,239.0,243.95,237.65,239.7,239.9,240.3,336401,8083753990000.001,10554,149339,0.4439
2020-01-06,ABFRL,EQ,239.9,239.8,239.8,232.5,238.8,234.4,234.78,315461,7406323945000.0,7412,224553,0.7118000000000001
2020-01-07,ABFRL,EQ,234.4,239.95,239.95,230.25,230.25,232.35,233.5,303954,7097380630000.0,6861,178284,0.5865
2020-01-08,ABFRL,EQ,232.35,231.7,237.2,228.1,235.0,236.1,234.43,516533,12109193500000.0,16988,332752,0.6442
2020-01-09,ABFRL,EQ,236.1,237.15,244.55,237.15,237.7,239.85,242.42,655948,15901606485000.0,12453,395505,0.603
2020-01-10,ABFRL,EQ,239.85,239.1,244.7,233.05,233.05,233.75,238.07,354906,8449357984999.999,9221,210511,0.5931000000000001
2020-01-13,ABFRL,EQ,233.75,235.6,237.0,229.1,230.0,230.05,232.58,280234,6517772470000.0,7674,143589,0.5124000000000001
2020-01-14,ABFRL,EQ,230.05,230.1,234.9,230.1,232.15,232.75,233.04,139700,3255567845000.0,5324,80225,0.5743
2020-01-15,ABFRL,EQ,232.75,230.4,237.0,229.0,230.4,230.85,232.24,548509,12738673435000.0,8406,185863,0.33890000000000003
2020-01-16,ABFRL,EQ,230.85,231.05,239.0,231.05,238.0,237.8,235.23,464313,10922102200000.0,11668,273739,0.5896
2020-01-17,ABFRL,EQ,237.8,238.0,239.55,233.0,233.05,235.7,236.1,297007,7012306720000.0,9597,170548,0.5742
2020-01-20,ABFRL,EQ,235.7,234.05,237.35,230.0,231.0,230.95,232.46,426617,9917115295000.0,6577,302119,0.7081999999999999
2020-01-21,ABFRL,EQ,230.95,231.9,233.75,229.0,229.15,229.4,230.91,186185,4299178985000.0,4802,104196,0.5596
2020-01-22,ABFRL,EQ,229.4,234.0,237.0,230.3,236.2,234.7,233.15,277057,6459547205000.0,11570,153042,0.5524
2020-01-23,ABFRL,EQ,234.7,235.8,241.0,231.95,233.1,233.8,237.36,344297,8172224450000.0,7976,158761,0.4611
2020-01-24,ABFRL,EQ,233.8,234.0,237.3,231.2,234.8,234.85,234.17,502580,11768796565000.0,13283,340322,0.6770999999999999
2020-01-27,ABFRL,EQ,234.85,232.9,237.0,232.05,233.25,234.25,235.59,268181,6318007065000.0,12382,170727,0.6365999999999999
2020-01-28,ABFRL,EQ,234.25,234.0,235.1,227.1,229.0,228.7,230.18,363061,8357096855000.0,14793,225503,0.6211
2020-01-29,ABFRL,EQ,228.7,229.8,232.0,227.1,228.5,228.1,229.47,172507,3958504040000.0,4040,95671,0.5546
2020-01-30,ABFRL,EQ,228.1,228.1,231.6,226.2,229.6,229.65,229.48,190362,4368417650000.0,6811,106479,0.5594
2020-01-31,ABFRL,EQ,229.65,230.05,235.2,227.6,234.0,233.65,232.92,271489,6323566575000.0,7205,124659,0.45920000000000005
2020-02-01,ABFRL,EQ,233.65,231.0,235.65,223.35,230.3,232.65,231.3,259370,5999242495000.0,6775,103645,0.3996
2020-02-03,ABFRL,EQ,232.65,230.0,232.6,224.2,230.5,230.0,226.2,407440,9216183765000.0,5718,324330,0.7959999999999999
2020-02-04,ABFRL,EQ,230.0,231.0,232.4,227.5,228.0,229.65,229.57,506335,11623830770000.0,7123,401733,0.7934000000000001
2020-02-05,ABFRL,EQ,229.65,228.7,247.8,227.8,238.1,238.65,234.01,2147274,50249254350000.0,26922,1579237,0.7354999999999999
2020-02-06,ABFRL,EQ,238.65,239.5,261.0,232.0,256.4,254.35,249.23,3115912,77658466150000.0,39090,1359536,0.4363
2020-02-07,ABFRL,EQ,254.35,253.9,263.95,251.0,260.4,260.95,259.97,2103438,54683692725000.0,28364,1305770,0.6208
2020-02-10,ABFRL,EQ,260.95,262.3,262.3,250.4,258.5,259.0,257.8,1023497,26385705595000.0,8920,697244,0.6812
2020-02-11,ABFRL,EQ,259.0,261.6,275.7,260.5,272.6,272.45,270.94,1566343,42438112290000.0,28854,724987,0.4629
2020-02-12,ABFRL,EQ,272.45,273.0,277.0,268.55,268.9,269.3,271.2,1674387,45410107275000.0,15992,1221878,0.7297
2020-02-13,ABFRL,EQ,269.3,267.55,281.35,265.0,275.8,275.95,276.15,1217941,33633041270000.0,18900,594522,0.48810000000000003
2020-02-14,ABFRL,EQ,275.95,275.8,277.7,263.45,264.5,265.5,268.59,803676,21586224385000.0,13646,455878,0.5672
2020-02-17,ABFRL,EQ,265.5,264.7,267.4,254.0,265.9,265.1,261.89,567062,14850620800000.0,15909,253261,0.4466
2020-02-18,ABFRL,EQ,265.1,265.9,271.0,259.0,262.8,261.85,264.33,671222,17742103845000.0,26323,388932,0.5794
2020-02-19,ABFRL,EQ,261.85,263.5,275.0,262.1,273.5,274.2,268.68,1154122,31009119164999.996,21055,708744,0.6141
2020-02-20,ABFRL,EQ,274.2,273.25,283.8,271.1,278.0,278.25,279.07,1166552,32554798514999.996,27870,618888,0.5305
2020-02-24,ABFRL,EQ,278.25,275.8,285.5,272.05,279.8,278.25,281.24,948980,26689055500000.0,18374,616182,0.6493000000000001
2020-02-25,ABFRL,EQ,278.25,276.45,283.7,264.6,266.0,267.3,275.84,846284,23343501905000.0,15368,568443,0.6717000000000001
2020-02-26,ABFRL,EQ,267.3,266.5,266.5,260.0,263.0,262.4,262.69,605177,15897309675000.0,25776,344257,0.5689000000000001
2020-02-27,ABFRL,EQ,262.4,263.0,266.85,254.75,260.0,261.8,261.55,648920,16972596365000.0,17590,311786,0.4805
2020-02-28,ABFRL,EQ,261.8,255.9,260.5,250.0,252.0,251.4,255.15,1266990,32326772455000.0,29367,959359,0.7572
