Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,APEX,EQ,345.35,347.5,407.0,347.5,395.0,395.85,387.34,4665403,180710248355000.0,85351,391864,0.084
2020-01-02,APEX,EQ,395.85,396.0,429.0,395.45,413.75,414.3,418.61,2735324,114503542655000.0,51046,283435,0.1036
2020-01-03,APEX,EQ,414.3,408.5,413.75,396.3,402.0,403.3,403.26,795430,32076806170000.0,16531,97766,0.1229
2020-01-06,APEX,EQ,403.3,395.3,400.0,372.85,383.1,383.15,385.61,517592,19958971545000.0,11538,116318,0.22469999999999998
2020-01-07,APEX,EQ,383.15,396.4,417.9,393.2,407.0,406.8,408.69,1356115,55422743229999.99,29167,155323,0.11449999999999999
2020-01-08,APEX,EQ,406.8,392.5,416.7,392.5,406.0,405.65,406.81,1096539,44608616195000.0,21929,114603,0.1045
2020-01-09,APEX,EQ,405.65,414.15,424.9,408.6,410.45,411.45,415.86,556419,23139149710000.0,9754,135611,0.24370000000000003
2020-01-10,APEX,EQ,411.45,411.05,415.3,402.0,406.05,406.0,407.35,403961,16455532405000.002,8812,89581,0.2218
2020-01-13,APEX,EQ,406.0,408.0,415.4,403.7,406.2,406.45,408.92,496291,20294567645000.0,9490,80515,0.16219999999999998
2020-01-14,APEX,EQ,406.45,408.5,427.7,406.1,417.2,418.15,419.76,1118725,46959042780000.0,20566,182950,0.1635
2020-01-15,APEX,EQ,418.15,420.15,434.7,417.0,431.5,431.45,426.05,1059212,45127640315000.0,16956,176398,0.16649999999999998
2020-01-16,APEX,EQ,431.45,435.0,444.85,425.75,430.95,430.8,436.38,1101249,48056417515000.0,20977,201282,0.18280000000000002
2020-01-17,APEX,EQ,430.8,434.0,434.6,415.4,415.6,417.55,423.57,351074,14870496900000.0,8712,101120,0.28800000000000003
2020-01-20,APEX,EQ,417.55,416.5,416.6,401.0,405.5,404.9,406.12,263750,10711287685000.0,6704,77932,0.29550000000000004
2020-01-21,APEX,EQ,404.9,404.0,416.4,399.0,412.65,412.2,410.59,531528,21824144740000.0,13498,68669,0.1292
2020-01-22,APEX,EQ,412.2,415.6,421.75,408.0,410.7,410.0,413.56,234712,9706758625000.0,5725,49360,0.21030000000000001
2020-01-23,APEX,EQ,410.0,413.7,414.4,405.55,408.4,408.65,409.66,244174,10002853390000.0,6833,43203,0.17690000000000003
