Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,AUROPHARMA,EQ,456.85,459.6,463.5,456.85,458.7,458.1,459.46,1081955,49711783005000.0,15524,213396,0.1972
2020-01-02,AUROPHARMA,EQ,458.1,458.8,465.95,457.5,463.2,461.6,461.78,1320717,60987951179999.99,22854,312764,0.2368
2020-01-03,AUROPHARMA,EQ,461.6,461.0,471.9,457.2,460.2,460.3,464.2,2784762,129269195920000.0,38419,516049,0.18530000000000002
2020-01-06,AUROPHARMA,EQ,460.3,458.4,458.95,442.0,443.85,443.5,447.25,2195956,98215193915000.0,30761,522004,0.2377
2020-01-07,AUROPHARMA,EQ,443.5,446.5,454.95,446.5,452.0,452.4,451.34,1731056,78129733975000.0,23646,360969,0.20850000000000002
2020-01-08,AUROPHARMA,EQ,452.4,445.4,453.85,445.4,450.5,451.35,450.01,1147722,51648732305000.0,15908,194116,0.1691
2020-01-09,AUROPHARMA,EQ,451.35,456.0,464.5,454.25,457.0,457.0,458.64,1812128,83112006850000.0,28992,447943,0.2472
2020-01-10,AUROPHARMA,EQ,457.0,457.7,465.4,457.1,457.7,457.95,461.15,1686133,77755870780000.0,23909,399437,0.23690000000000003
2020-01-13,AUROPHARMA,EQ,457.95,460.0,463.85,456.65,460.25,460.6,460.22,1117209,51416287990000.0,31554,348396,0.3118
2020-01-14,AUROPHARMA,EQ,460.6,462.0,481.55,460.25,480.8,480.3,475.08,4783345,227248975575000.0,66334,820862,0.1716
2020-01-15,AUROPHARMA,EQ,480.3,483.9,488.3,477.0,485.65,485.75,483.27,4107121,198484138965000.0,69697,744082,0.1812
2020-01-16,AUROPHARMA,EQ,485.75,485.9,487.7,474.85,475.75,475.85,479.92,1947533,93466634055000.0,36425,594577,0.3053
2020-01-17,AUROPHARMA,EQ,475.85,477.4,489.95,475.95,486.25,485.95,484.31,2644076,128056441205000.0,36062,540664,0.2045
2020-01-20,AUROPHARMA,EQ,485.95,485.0,488.35,477.05,482.05,482.95,482.51,1733486,83642549820000.0,20594,457036,0.2637
2020-01-21,AUROPHARMA,EQ,482.95,481.0,495.4,472.0,494.5,493.2,489.65,3371672,165095299650000.0,49523,945626,0.2805
2020-01-22,AUROPHARMA,EQ,493.2,498.0,510.9,490.8,498.0,497.95,502.87,8257195,415227873625000.0,118229,1636272,0.19820000000000002
2020-01-23,AUROPHARMA,EQ,497.95,498.75,499.6,487.35,491.5,490.05,491.72,3759332,184853593830000.0,49313,1635740,0.4351
2020-01-24,AUROPHARMA,EQ,490.05,491.4,504.0,491.0,501.25,501.1,499.78,2975692,148719984395000.0,37476,759678,0.2553
2020-01-27,AUROPHARMA,EQ,501.1,499.6,518.0,498.2,511.35,511.0,512.67,4841528,248211598700000.0,66267,901455,0.1862
2020-01-28,AUROPHARMA,EQ,511.0,512.4,515.9,501.5,501.5,504.1,506.68,2725047,138072234309999.98,45778,503155,0.18460000000000001
2020-01-29,AUROPHARMA,EQ,504.1,505.4,511.15,503.25,505.5,507.35,506.56,1730597,87664409645000.0,36695,452903,0.26170000000000004
2020-01-30,AUROPHARMA,EQ,507.35,508.1,509.65,465.85,478.0,480.25,479.33,12708850,609174214275000.0,151640,2227858,0.1753
2020-01-31,AUROPHARMA,EQ,480.25,480.65,487.0,477.1,482.0,481.4,482.46,3179653,153405436705000.0,56816,725237,0.2281
2020-02-01,AUROPHARMA,EQ,481.4,480.1,485.7,460.2,465.35,467.5,477.33,1098750,52447032115000.0,22938,142300,0.1295
2020-02-03,AUROPHARMA,EQ,467.5,465.35,479.0,465.0,475.45,473.5,474.6,1428152,67779598265000.0,28409,395292,0.2768
2020-02-04,AUROPHARMA,EQ,473.5,476.0,505.25,476.0,495.6,494.8,495.58,4880725,241880355180000.03,66397,719222,0.1474
2020-02-05,AUROPHARMA,EQ,494.8,495.5,510.9,495.1,510.5,508.0,503.05,3094847,155685777805000.0,35762,518196,0.1674
