Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,FORCEMOT,EQ,1084.65,1090.05,1113.8,1085.0,1088.0,1091.85,1097.58,32812,3601385325000.0,2945,10546,0.3214
2020-01-02,FORCEMOT,EQ,1091.85,1092.2,1096.7,1068.0,1072.45,1073.25,1075.9,36133,3887565165000.0,2965,17791,0.4924
2020-01-03,FORCEMOT,EQ,1073.25,1073.5,1128.0,1070.0,1092.25,1095.35,1104.86,73879,8162620109999.999,5920,22187,0.3003
2020-01-06,FORCEMOT,EQ,1095.35,1150.0,1218.0,1142.55,1166.1,1178.45,1185.06,597733,70834795525000.0,35741,83197,0.1392
2020-01-07,FORCEMOT,EQ,1178.45,1186.0,1210.0,1137.0,1145.8,1147.25,1172.81,208622,24467478745000.0,13426,64595,0.30960000000000004
2020-01-08,FORCEMOT,EQ,1147.25,1123.0,1149.0,1115.0,1124.0,1122.5,1130.39,48129,5440435385000.0,3471,17183,0.35700000000000004
2020-01-09,FORCEMOT,EQ,1122.5,1146.65,1155.0,1135.0,1143.0,1142.75,1144.11,40098,4587659395000.0,3382,14294,0.3565
2020-01-10,FORCEMOT,EQ,1142.75,1151.9,1198.0,1137.65,1161.35,1163.15,1174.25,109163,12818499095000.0,7945,29457,0.2698
2020-01-13,FORCEMOT,EQ,1163.15,1168.7,1284.4,1153.3,1262.05,1265.95,1235.43,397161,49066414825000.0,24564,105328,0.2652
2020-01-14,FORCEMOT,EQ,1265.95,1281.0,1292.1,1250.0,1271.0,1273.05,1271.62,151375,19249135865000.0,8511,35512,0.2346
2020-01-15,FORCEMOT,EQ,1273.05,1274.7,1282.85,1238.4,1269.0,1271.45,1262.61,59541,7517687655000.0,5128,18349,0.30820000000000003
2020-01-16,FORCEMOT,EQ,1271.45,1281.0,1394.8,1254.95,1368.5,1373.65,1343.61,399788,53715727415000.0,24633,66205,0.1656
2020-01-17,FORCEMOT,EQ,1373.65,1375.8,1424.4,1357.55,1406.0,1404.55,1391.13,204073,28389193620000.0,11798,41763,0.2046
2020-01-20,FORCEMOT,EQ,1404.55,1408.0,1487.0,1397.5,1463.6,1466.3,1453.9,293212,42630044555000.0,14358,59960,0.2045
2020-01-21,FORCEMOT,EQ,1466.3,1460.0,1504.0,1450.35,1470.5,1467.6,1480.7,199225,29499332020000.0,10845,42078,0.21120000000000003
2020-01-22,FORCEMOT,EQ,1467.6,1474.9,1499.25,1442.0,1457.05,1458.4,1460.03,82256,12009662620000.0,6083,20190,0.24550000000000002
2020-01-23,FORCEMOT,EQ,1458.4,1463.1,1494.0,1441.6,1468.0,1469.35,1471.68,91250,13429040280000.002,6652,16251,0.17809999999999998
2020-01-24,FORCEMOT,EQ,1469.35,1473.95,1474.0,1412.05,1426.6,1431.25,1448.48,51660,7482867509999.999,4354,18974,0.36729999999999996
2020-01-27,FORCEMOT,EQ,1431.25,1423.0,1450.95,1324.1,1337.0,1346.25,1395.04,102561,14307677040000.0,6658,48091,0.46890000000000004
2020-01-28,FORCEMOT,EQ,1346.25,1343.95,1367.0,1301.1,1323.75,1317.1,1325.5,159279,21112421585000.0,10024,43082,0.2705
2020-01-29,FORCEMOT,EQ,1317.1,1330.1,1363.3,1307.15,1310.0,1313.55,1326.24,78704,10438050790000.0,4726,31775,0.4037
2020-01-30,FORCEMOT,EQ,1313.55,1320.7,1324.9,1232.15,1267.5,1262.6,1282.38,377871,48457609105000.0,21490,78933,0.2089
2020-01-31,FORCEMOT,EQ,1262.6,1254.0,1306.0,1248.0,1255.0,1260.25,1270.82,63976,8130186920000.0,5273,21211,0.3315
2020-02-01,FORCEMOT,EQ,1260.25,1260.25,1285.85,1185.25,1199.6,1215.85,1246.88,58249,7262959295000.0,3812,32046,0.5502
2020-02-03,FORCEMOT,EQ,1215.85,1200.0,1241.8,1165.25,1235.0,1227.8,1211.37,84708,10261294540000.0,6656,21266,0.2511
2020-02-04,FORCEMOT,EQ,1227.8,1237.0,1342.7,1235.0,1329.0,1328.65,1304.83,240080,31326276495000.0,16780,46260,0.1927
2020-02-05,FORCEMOT,EQ,1328.65,1332.75,1374.0,1296.85,1341.95,1343.75,1338.58,208469,27905285195000.0,13090,39265,0.1883
2020-02-06,FORCEMOT,EQ,1343.75,1348.0,1414.0,1321.8,1396.0,1393.9,1372.33,169927,23319647330000.0,9694,43833,0.258
2020-02-07,FORCEMOT,EQ,1393.9,1400.0,1408.8,1365.0,1377.0,1380.65,1389.91,94469,13130353415000.0,7110,27274,0.2887
