Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,M&M,EQ,531.55,532.9,538.0,529.55,536.95,536.6,533.95,2611808,139458161184999.98,27497,332332,0.1272
2020-01-02,M&M,EQ,536.6,537.0,541.0,533.5,539.0,539.85,538.71,2776519,149572973240000.0,43016,738407,0.2659
2020-01-03,M&M,EQ,539.85,538.95,539.0,530.4,533.0,532.75,533.82,1930883,103074107355000.0,30030,698561,0.3618
2020-01-06,M&M,EQ,532.75,529.9,530.0,520.5,523.55,524.5,523.29,2059404,107767530165000.02,34854,931642,0.4524
2020-01-07,M&M,EQ,524.5,528.9,532.0,523.05,526.65,526.65,527.55,2111349,111385053950000.0,34387,471935,0.22350000000000003
2020-01-08,M&M,EQ,526.65,520.9,526.45,519.0,524.5,524.65,522.73,1612378,84283673695000.0,33088,509565,0.316
2020-01-09,M&M,EQ,524.65,529.85,542.45,525.7,541.5,541.25,537.33,2897598,155696765660000.0,45977,871775,0.3009
2020-01-10,M&M,EQ,541.25,544.1,547.6,539.25,546.3,546.6,544.42,2355888,128258676350000.0,35902,716916,0.3043
2020-01-13,M&M,EQ,546.6,548.9,557.0,546.6,556.0,554.95,552.89,3442869,190353178805000.0,51510,1437318,0.4175
2020-01-14,M&M,EQ,554.95,554.95,563.75,554.95,562.4,562.5,559.84,2793249,156375981200000.0,50589,1332489,0.47700000000000004
2020-01-15,M&M,EQ,562.5,562.0,571.0,556.7,569.3,569.75,565.24,2564513,144956195765000.0,42204,1234020,0.48119999999999996
2020-01-16,M&M,EQ,569.75,569.25,569.8,564.05,566.6,567.45,567.11,2243200,127214583945000.0,29664,1134731,0.5059
2020-01-17,M&M,EQ,567.45,566.8,574.0,565.15,568.5,569.3,570.16,2646260,150879800910000.0,42403,1078475,0.40750000000000003
2020-01-20,M&M,EQ,569.3,569.0,574.0,564.35,567.3,567.2,569.44,1847978,105230916465000.0,25034,553170,0.2993
2020-01-21,M&M,EQ,567.2,564.0,564.9,550.1,550.95,552.8,555.36,3101684,172255339360000.0,46464,1102829,0.3556
2020-01-22,M&M,EQ,552.8,553.5,556.5,549.0,553.65,553.6,553.51,1862669,103100593995000.0,29578,265930,0.1428
2020-01-23,M&M,EQ,553.6,553.5,567.4,549.55,566.2,566.5,561.67,2113303,118698842870000.0,29380,763220,0.36119999999999997
2020-01-24,M&M,EQ,566.5,566.1,572.0,564.1,569.5,567.75,569.13,2284717,130030198355000.0,40082,896886,0.3926
2020-01-27,M&M,EQ,567.75,565.0,582.5,563.0,578.35,578.3,577.5,3654906,211069300975000.0,50823,1219761,0.3337
2020-01-28,M&M,EQ,578.3,581.25,589.75,568.5,573.75,572.5,581.03,3689004,214343905170000.0,66297,1024287,0.2777
2020-01-29,M&M,EQ,572.5,577.5,580.7,572.15,576.7,577.75,576.5,1934080,111499716880000.0,44201,595401,0.3078
2020-01-30,M&M,EQ,577.75,578.0,587.55,563.85,566.5,567.85,573.84,2901951,166524227930000.0,50548,938753,0.3235
2020-01-31,M&M,EQ,567.85,570.8,577.0,565.3,568.8,567.15,570.67,2352196,134232270025000.0,48884,915613,0.3893
2020-02-01,M&M,EQ,567.15,566.0,581.2,528.95,545.1,545.2,562.78,4034237,227038524619999.97,42908,908944,0.22530000000000003
2020-02-03,M&M,EQ,545.2,545.0,565.75,535.2,559.75,558.7,552.73,3818209,211043465740000.0,61630,892859,0.2338
2020-02-04,M&M,EQ,558.7,562.0,578.8,558.8,577.35,576.9,571.61,2793702,159690587725000.0,49302,1057850,0.3787
2020-02-05,M&M,EQ,576.9,580.25,589.85,577.4,585.0,584.35,584.69,3320830,194166366175000.0,54572,1043994,0.3144
2020-02-06,M&M,EQ,584.35,585.0,589.15,576.05,580.6,580.15,582.03,2207104,128459001559999.98,41416,778011,0.3525
2020-02-07,M&M,EQ,580.15,579.0,581.5,561.3,569.0,569.1,570.38,4083215,232899720325000.0,52666,1626611,0.39840000000000003
2020-02-10,M&M,EQ,569.1,566.8,567.0,526.05,528.4,528.4,539.02,9648880,520089849575000.0,149883,2540595,0.2633
2020-02-11,M&M,EQ,528.4,533.2,537.7,522.7,523.9,524.05,529.57,5404802,286223487585000.0,96880,1419834,0.2627
2020-02-12,M&M,EQ,524.05,526.65,534.3,523.9,531.9,531.0,529.25,3426829,181363620550000.0,69539,921023,0.2688
2020-02-13,M&M,EQ,531.0,530.45,538.0,528.3,533.25,533.6,533.73,3392352,181061431420000.0,43781,918442,0.2707
2020-02-14,M&M,EQ,533.6,535.25,536.95,520.65,524.1,523.0,528.1,3507540,185234343985000.0,65333,1296123,0.36950000000000005
2020-02-17,M&M,EQ,523.0,524.1,525.4,516.0,524.5,522.75,520.97,2652464,138186458575000.0,61444,984511,0.3712
2020-02-18,M&M,EQ,522.75,520.5,524.9,514.1,523.2,523.2,519.88,2868873,149147716235000.0,54410,1158867,0.40390000000000004
2020-02-19,M&M,EQ,523.2,528.15,529.65,521.8,528.55,526.4,525.03,1952880,102531503195000.0,36230,532358,0.2726
2020-02-20,M&M,EQ,526.4,525.9,533.0,523.0,524.3,524.85,528.45,2077458,109784001790000.02,37210,526667,0.2535
2020-02-24,M&M,EQ,524.85,522.0,522.0,511.1,514.15,513.2,515.71,1911411,98572562210000.0,44611,845724,0.4425
2020-02-25,M&M,EQ,513.2,515.55,519.5,506.1,510.0,508.95,512.9,2105613,107997217605000.0,35509,720678,0.3423
2020-02-26,M&M,EQ,508.95,507.7,512.45,500.0,502.75,503.0,505.89,3058370,154718360285000.0,47336,1260428,0.4121
2020-02-27,M&M,EQ,503.0,504.0,504.0,487.55,496.0,493.5,492.92,6039260,297684914975000.0,142978,2902900,0.4807
2020-02-28,M&M,EQ,493.5,485.0,485.0,453.6,457.0,457.05,470.41,8613275,405178308315000.0,153523,3877985,0.45020000000000004
2020-03-02,M&M,EQ,457.05,453.55,472.45,444.35,461.9,458.3,460.01,9225488,424379344690000.0,119400,2353793,0.2551
2020-03-03,M&M,EQ,458.3,462.0,471.0,455.25,470.0,466.25,463.41,4582866,212376457360000.0,60825,1617456,0.3529
2020-03-04,M&M,EQ,466.25,466.05,477.0,457.5,473.4,474.65,466.89,5912943,276069502530000.03,92674,2486422,0.4205
2020-03-05,M&M,EQ,474.65,472.7,482.5,469.0,478.45,479.3,477.3,4081050,194786590660000.0,44892,1283787,0.3146
2020-03-06,M&M,EQ,479.3,458.85,473.75,456.5,470.7,471.0,466.55,4502562,210065297175000.0,59236,1937003,0.4302
2020-03-09,M&M,EQ,471.0,453.55,465.7,441.0,465.0,463.2,457.17,4540695,207585129465000.0,94537,1856405,0.40880000000000005
2020-03-11,M&M,EQ,463.2,462.85,469.65,449.7,450.65,451.6,459.98,5104926,234815839105000.03,97943,1998327,0.3915
