Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,MINDTREE,EQ,800.15,801.0,815.0,795.5,811.95,811.75,810.46,848083,68734021470000.01,13208,100475,0.1185
2020-01-02,MINDTREE,EQ,811.75,815.5,819.5,800.2,813.3,813.75,809.17,1015807,82195950515000.0,21690,164544,0.162
2020-01-03,MINDTREE,EQ,813.75,811.95,823.25,804.55,813.75,815.55,817.61,784180,64115248729999.99,14106,99779,0.1272
2020-01-06,MINDTREE,EQ,815.55,811.55,831.8,808.25,823.0,824.1,826.03,1419788,117278248605000.0,23273,240874,0.1697
2020-01-07,MINDTREE,EQ,824.1,822.95,854.0,822.0,852.0,846.25,836.47,1220658,102104345790000.0,21476,187631,0.1537
2020-01-08,MINDTREE,EQ,846.25,850.0,856.5,840.0,844.55,852.15,850.71,1210316,102963340415000.0,22500,95722,0.0791
2020-01-09,MINDTREE,EQ,852.15,853.0,853.0,823.1,827.55,827.05,834.86,1075678,89803771165000.0,18788,273355,0.2541
2020-01-10,MINDTREE,EQ,827.05,832.2,835.9,820.55,832.0,830.85,829.0,671530,55669781515000.0,11637,61439,0.09150000000000001
2020-01-13,MINDTREE,EQ,830.85,834.95,843.7,828.1,843.0,839.9,837.13,444899,37243860410000.0,8926,61430,0.1381
2020-01-14,MINDTREE,EQ,839.9,848.0,874.0,842.95,863.2,864.35,860.85,2337565,201230150155000.0,37400,393724,0.1684
2020-01-15,MINDTREE,EQ,864.35,868.0,901.7,847.2,884.9,887.85,881.81,8784809,774657306305000.0,132696,1019446,0.11599999999999999
2020-01-16,MINDTREE,EQ,887.85,887.0,900.0,877.6,897.1,897.6,889.52,1528769,135987347905000.0,32169,163348,0.1068
2020-01-17,MINDTREE,EQ,897.6,897.6,903.25,881.15,881.35,883.55,889.91,910721,81045919385000.0,19163,245173,0.26920000000000005
2020-01-20,MINDTREE,EQ,883.55,884.0,896.0,879.2,896.0,892.75,889.42,651190,57918235529999.99,14842,112534,0.1728
2020-01-21,MINDTREE,EQ,892.75,890.1,907.25,885.2,896.1,897.75,898.29,725781,65196524829999.99,12702,119020,0.16399999999999998
