Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-03-30,NAZARA,EQ,1101.0,1990.0,2024.9,1592.0,1592.0,1592.0,1766.58,7491764,1323481777045000.0,500837,2748976,0.3669
2021-03-31,NAZARA,EQ,1592.0,1490.0,1560.8,1432.0,1462.0,1466.3,1492.93,3560915,531618917035000.06,271601,732793,0.20579999999999998
2021-04-01,NAZARA,EQ,1466.3,1505.1,1738.4,1499.05,1662.0,1670.7,1627.64,3523089,573432943840000.0,213632,491067,0.1394
2021-04-05,NAZARA,EQ,1670.7,1650.0,1713.0,1611.0,1648.0,1651.1,1658.23,986802,163634497780000.0,72684,246197,0.2495
2021-04-06,NAZARA,EQ,1651.1,1669.0,1680.0,1626.0,1629.0,1635.15,1652.76,377626,62412539404999.99,26901,123477,0.327
2021-04-07,NAZARA,EQ,1635.15,1642.0,1678.9,1632.2,1648.25,1649.45,1653.52,351231,58076710800000.0,25033,130837,0.3725
2021-04-08,NAZARA,EQ,1649.45,1660.75,1676.0,1632.95,1638.0,1639.3,1652.44,358891,59304648045000.01,20387,127724,0.35590000000000005
2021-04-09,NAZARA,EQ,1639.3,1645.0,1652.95,1602.0,1612.4,1613.3,1625.61,268299,43614925275000.0,18818,96410,0.3593
2021-04-12,NAZARA,EQ,1613.3,1573.0,1575.0,1455.55,1508.0,1493.75,1506.11,370035,55731524625000.0,27806,164506,0.4446
2021-04-13,NAZARA,EQ,1493.75,1532.0,1665.0,1520.75,1625.0,1639.15,1590.95,540270,85954489910000.0,33931,149080,0.2759
2021-04-15,NAZARA,EQ,1639.15,1630.0,1666.0,1606.1,1608.0,1616.55,1632.57,296979,48483895025000.0,23518,88524,0.2981
2021-04-16,NAZARA,EQ,1616.55,1623.0,1647.0,1605.5,1615.0,1617.55,1626.34,223494,36347824550000.0,16023,77079,0.34490000000000004
2021-04-19,NAZARA,EQ,1617.55,1490.0,1593.95,1490.0,1555.0,1562.7,1562.92,152235,23793128000000.0,12628,46514,0.3055
2021-04-20,NAZARA,EQ,1562.7,1595.0,1620.0,1570.1,1577.0,1578.25,1593.35,128150,20418810280000.0,9192,40076,0.3127
2021-04-22,NAZARA,EQ,1578.25,1576.0,1647.0,1560.05,1608.0,1609.1,1610.86,240443,38732042825000.0,14838,65028,0.2705
2021-04-23,NAZARA,EQ,1609.1,1690.0,1729.85,1640.0,1692.0,1689.85,1684.56,671624,113138992425000.0,47633,185016,0.2755
2021-04-26,NAZARA,EQ,1689.85,1710.0,1721.95,1675.0,1690.0,1693.45,1696.18,409738,69499119265000.0,23261,193736,0.4728
2021-04-27,NAZARA,EQ,1693.45,1690.0,1700.85,1680.0,1681.0,1686.35,1688.23,195199,32954152710000.004,14385,87255,0.44700000000000006
2021-04-28,NAZARA,EQ,1686.35,1690.0,1836.0,1685.0,1787.8,1789.9,1776.19,1019865,181147178775000.0,61989,281248,0.2758
2021-04-29,NAZARA,EQ,1789.9,1803.0,1814.0,1744.0,1748.0,1749.5,1764.67,274073,48364809865000.0,20798,126652,0.4621
2021-04-30,NAZARA,EQ,1749.5,1720.0,1782.0,1720.0,1726.0,1736.75,1750.26,258523,45248228720000.0,14162,80340,0.31079999999999997
2021-05-03,NAZARA,EQ,1736.75,1720.0,1844.0,1715.05,1823.0,1826.1,1795.33,442236,79396113965000.0,26843,163637,0.37
2021-05-04,NAZARA,EQ,1826.1,1840.75,1897.0,1776.05,1797.0,1792.35,1848.49,486281,89888359760000.0,28588,131189,0.2698
2021-05-05,NAZARA,EQ,1792.35,1806.7,1819.0,1771.2,1783.0,1789.35,1796.17,149060,26773647500000.0,14049,56020,0.37579999999999997
2021-05-06,NAZARA,EQ,1789.35,1798.0,1813.25,1758.0,1772.2,1771.95,1778.93,139763,24862910480000.0,9266,65720,0.47020000000000006
2021-05-07,NAZARA,EQ,1771.95,1783.7,1803.05,1720.05,1721.0,1727.15,1753.67,175648,30802903564999.996,16041,97389,0.5545
2021-05-10,NAZARA,EQ,1727.15,1738.0,1763.0,1698.0,1704.95,1703.05,1726.73,245173,42334702855000.0,20165,97979,0.3996
2021-05-11,NAZARA,EQ,1703.05,1700.0,1749.0,1683.55,1722.0,1724.45,1720.99,219488,37773638890000.0,14937,65465,0.2983
2021-05-12,NAZARA,EQ,1724.45,1724.7,1755.0,1717.85,1719.25,1725.2,1734.47,151554,26286584110000.0,9674,39224,0.2588
2021-05-14,NAZARA,EQ,1725.2,1729.0,1735.95,1653.1,1670.0,1670.2,1681.91,259641,43669399860000.0,19762,108422,0.41759999999999997
2021-05-17,NAZARA,EQ,1670.2,1682.7,1689.0,1656.0,1664.0,1666.45,1671.64,107944,18044342370000.0,11645,38413,0.35590000000000005
2021-05-18,NAZARA,EQ,1666.45,1678.95,1709.95,1661.0,1675.0,1671.6,1681.74,171004,28758480889999.996,14586,59858,0.35000000000000003
2021-05-19,NAZARA,EQ,1671.6,1673.5,1698.8,1665.0,1666.0,1668.5,1675.55,80416,13474080750000.0,7697,26026,0.3236
2021-05-20,NAZARA,EQ,1668.5,1677.0,1698.95,1662.0,1664.0,1665.5,1677.33,84092,14104970594999.998,7275,25659,0.30510000000000004
2021-05-21,NAZARA,EQ,1665.5,1674.7,1679.7,1651.0,1656.5,1659.35,1666.69,80402,13400502450000.0,6796,33729,0.41950000000000004
2021-05-24,NAZARA,EQ,1659.35,1664.7,1675.0,1641.0,1647.15,1647.9,1653.45,205148,33920116130000.0,23019,92332,0.4501
2021-05-25,NAZARA,EQ,1647.9,1654.7,1660.0,1641.7,1648.95,1648.6,1651.36,123062,20322014530000.0,9394,54612,0.44380000000000003
2021-05-26,NAZARA,EQ,1648.6,1656.5,1802.35,1656.5,1766.5,1764.65,1746.64,793049,138517124505000.0,49403,226454,0.28550000000000003
2021-05-27,NAZARA,EQ,1764.65,1778.8,1790.9,1750.05,1765.15,1766.4,1769.0,225660,39919271095000.0,15726,85409,0.3785
2021-05-28,NAZARA,EQ,1766.4,1780.0,1781.95,1710.0,1724.8,1722.8,1746.5,227184,39677587450000.0,20568,119173,0.5246000000000001
2021-05-31,NAZARA,EQ,1722.8,1685.0,1735.3,1641.0,1709.0,1705.4,1694.56,482913,81832562755000.0,37145,164566,0.3408
2021-06-01,NAZARA,EQ,1705.4,1713.0,1757.95,1690.0,1691.2,1695.45,1718.64,319035,54830565475000.0,22796,149151,0.4675
2021-06-02,NAZARA,EQ,1695.45,1702.0,1726.25,1690.0,1714.0,1714.7,1710.36,120718,20647131950000.0,7887,39507,0.3273
2021-06-03,NAZARA,EQ,1714.7,1721.95,1734.9,1691.1,1696.5,1699.45,1706.15,182983,31219697664999.996,31277,82454,0.45060000000000006
2021-06-04,NAZARA,EQ,1699.45,1699.45,1709.9,1671.25,1678.5,1679.7,1683.39,171791,28919210435000.004,26379,80283,0.4673
2021-06-07,NAZARA,EQ,1679.7,1690.0,1694.0,1650.15,1660.0,1658.5,1662.19,200430,33315205370000.0,25186,123816,0.6178
2021-06-08,NAZARA,EQ,1658.5,1667.7,1678.0,1651.1,1658.5,1658.5,1660.45,194471,32290996360000.004,26794,85401,0.4391
2021-06-09,NAZARA,EQ,1658.5,1670.0,1748.0,1641.95,1693.0,1687.95,1697.91,685973,116472343190000.02,28192,317466,0.46280000000000004
2021-06-10,NAZARA,EQ,1687.95,1735.0,1751.0,1712.1,1722.0,1720.2,1732.49,273550,47392342465000.0,17574,108363,0.3961
2021-06-11,NAZARA,EQ,1720.2,1740.0,1747.0,1711.75,1726.3,1726.2,1727.83,151500,26176573755000.0,7402,58254,0.38450000000000006
2021-06-14,NAZARA,EQ,1726.2,1733.0,1733.0,1677.0,1692.4,1690.7,1698.45,205955,34980360055000.0,13428,76612,0.37200000000000005
2021-06-15,NAZARA,EQ,1690.7,1699.85,1703.1,1675.0,1679.8,1679.15,1689.09,135347,22861291195000.0,9226,90219,0.6666
