Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,TATACOFFEE,EQ,92.1,92.5,92.7,91.3,91.4,91.5,91.9,147147,1352279930000.0,2052,67688,0.46
2020-01-02,TATACOFFEE,EQ,91.5,91.9,93.25,91.55,92.5,92.45,92.66,271918,2519538620000.0,2577,124231,0.4569
2020-01-03,TATACOFFEE,EQ,92.45,92.7,96.2,92.5,93.9,93.9,94.76,1281570,12143674445000.0,9109,370283,0.2889
2020-01-06,TATACOFFEE,EQ,93.9,92.75,93.25,90.1,90.1,90.35,91.59,319848,2929466680000.0,4272,128810,0.40270000000000006
2020-01-07,TATACOFFEE,EQ,90.35,91.05,92.55,90.5,91.75,91.55,91.56,229694,2103088785000.0002,5236,67818,0.2953
2020-01-08,TATACOFFEE,EQ,91.55,91.0,91.55,88.6,89.1,89.15,89.94,341567,3072124165000.0,3627,157472,0.461
2020-01-09,TATACOFFEE,EQ,89.15,90.3,92.8,90.0,91.3,91.45,91.59,456659,4182710520000.0005,5157,142798,0.3127
2020-01-10,TATACOFFEE,EQ,91.45,91.8,93.95,91.8,93.0,93.3,93.12,703285,6549168705000.0,5167,318593,0.45299999999999996
2020-01-13,TATACOFFEE,EQ,93.3,95.0,99.85,94.3,97.7,97.55,97.59,2665181,26010257455000.0,17640,920897,0.3455
2020-01-14,TATACOFFEE,EQ,97.55,97.75,102.95,97.05,100.0,100.35,100.7,2996657,30175218114999.996,21002,793858,0.26489999999999997
2020-01-15,TATACOFFEE,EQ,100.35,100.5,101.55,99.5,99.8,99.9,100.24,801667,8035543934999.999,7645,274353,0.3422
2020-01-16,TATACOFFEE,EQ,99.9,99.9,104.0,99.85,101.65,101.95,102.46,1609691,16492977830000.002,13093,606878,0.37700000000000006
2020-01-17,TATACOFFEE,EQ,101.95,102.9,103.85,98.5,98.7,99.35,100.96,776970,7844136240000.001,6022,387836,0.49920000000000003
2020-01-20,TATACOFFEE,EQ,99.35,99.35,102.8,98.85,100.4,100.45,101.01,1170980,11828023635000.0,9452,328534,0.2806
2020-01-21,TATACOFFEE,EQ,100.45,99.5,106.95,99.5,103.6,102.95,104.37,3702445,38642671470000.0,24247,924688,0.24980000000000002
2020-01-22,TATACOFFEE,EQ,102.95,103.95,105.35,101.05,103.0,102.3,103.31,999521,10326425540000.0,7366,349466,0.3496
2020-01-23,TATACOFFEE,EQ,102.3,102.9,105.45,102.55,103.8,103.9,104.31,1469545,15328659475000.0,9650,415660,0.2828
2020-01-24,TATACOFFEE,EQ,103.9,103.75,105.4,102.55,103.85,103.3,104.1,739277,7696228770000.0,5467,293473,0.397
2020-01-27,TATACOFFEE,EQ,103.3,102.8,104.55,101.5,101.8,102.0,103.01,610323,6286738905000.0,4648,241153,0.3951
2020-01-28,TATACOFFEE,EQ,102.0,102.5,103.65,98.0,99.0,99.35,100.53,1355466,13626206885000.0,9839,379757,0.2802
2020-01-29,TATACOFFEE,EQ,99.35,106.1,107.8,102.6,103.6,103.35,104.39,3954625,41281439720000.0,25959,864758,0.2187
2020-01-30,TATACOFFEE,EQ,103.35,103.95,104.0,99.05,99.75,99.95,100.8,922432,9298322130000.0,7168,340320,0.3689
