Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,TATAMOTORS,EQ,185.15,185.15,186.7,183.6,184.25,184.45,185.11,25968357,480694613950000.0,99072,1878537,0.0723
2020-01-02,TATAMOTORS,EQ,184.45,185.0,194.7,184.6,193.85,193.75,190.57,57289863,1091754885604999.9,251258,9368491,0.1635
2020-01-03,TATAMOTORS,EQ,193.75,192.9,195.65,189.25,191.25,191.1,192.0,47572728,913413987265000.0,185614,4181757,0.08789999999999999
2020-01-06,TATAMOTORS,EQ,191.1,191.0,191.0,185.05,185.4,185.65,187.3,28621212,536080053545000.0,138113,3848110,0.1344
2020-01-07,TATAMOTORS,EQ,185.65,187.0,189.4,182.3,184.35,184.7,185.41,34995035,648830902840000.0,133404,3453069,0.0987
2020-01-08,TATAMOTORS,EQ,184.7,180.2,184.2,180.2,182.75,182.55,182.39,21862695,398754267535000.0,96592,2366695,0.10830000000000001
2020-01-09,TATAMOTORS,EQ,182.55,184.85,192.75,184.25,192.4,192.0,189.24,40803142,772151679610000.0,169349,4419385,0.10830000000000001
2020-01-10,TATAMOTORS,EQ,192.0,192.0,199.0,190.0,194.25,196.35,193.86,60252338,1168045844790000.0,233758,6153112,0.10210000000000001
2020-01-13,TATAMOTORS,EQ,196.35,194.75,197.75,191.4,195.9,196.25,194.56,40535961,788685739110000.0,153824,7702853,0.19
2020-01-14,TATAMOTORS,EQ,196.25,195.7,198.25,193.6,195.2,195.85,196.42,29867542,586669236115000.0,121231,2349518,0.0787
2020-01-15,TATAMOTORS,EQ,195.85,195.0,201.7,194.0,199.7,200.35,198.74,38485962,764860182660000.0,164803,3118661,0.081
2020-01-16,TATAMOTORS,EQ,200.35,199.5,200.6,196.9,197.25,197.55,198.68,28118140,558648802945000.0,143016,3114624,0.11080000000000001
2020-01-17,TATAMOTORS,EQ,197.55,197.25,199.45,195.7,196.7,197.3,198.1,18204088,360617552430000.0,90448,1075718,0.0591
2020-01-20,TATAMOTORS,EQ,197.3,198.0,201.45,194.3,195.55,195.0,197.2,28976013,571407843775000.0,124160,2721775,0.09390000000000001
2020-01-21,TATAMOTORS,EQ,195.0,195.5,196.4,190.2,190.25,191.4,193.54,20859400,403709224175000.0,101560,2045869,0.0981
2020-01-22,TATAMOTORS,EQ,191.4,191.95,192.5,184.25,185.6,185.6,186.78,32952072,615494552595000.0,147905,4602385,0.13970000000000002
2020-01-23,TATAMOTORS,EQ,185.6,186.75,190.4,183.8,188.1,188.4,187.77,33032086,620243263090000.0,141362,2724024,0.0825
2020-01-24,TATAMOTORS,EQ,188.4,188.0,191.0,185.0,186.9,186.5,188.92,21791825,411689385240000.0,103503,3178972,0.1459
2020-01-27,TATAMOTORS,EQ,186.5,185.7,186.9,180.85,182.35,182.2,183.6,30132428,553227734525000.0,135488,5101016,0.1693
2020-01-28,TATAMOTORS,EQ,182.2,183.9,184.3,174.9,176.4,176.1,179.62,38283588,687640146600000.0,189737,8739649,0.22829999999999998
2020-01-29,TATAMOTORS,EQ,176.1,178.8,188.9,178.55,188.1,188.05,184.96,61585660,1139101339110000.0,283929,6663303,0.1082
2020-01-30,TATAMOTORS,EQ,188.05,190.95,192.55,184.25,186.3,186.2,188.16,70900581,1334063838320000.0,291552,7218067,0.1018
2020-01-31,TATAMOTORS,EQ,186.2,186.3,188.35,175.95,176.9,176.6,180.14,75621897,1362258361215000.0,308408,9868706,0.1305
2020-02-01,TATAMOTORS,EQ,176.6,175.4,178.8,163.7,165.4,165.6,172.07,42515114,731573224480000.0,233423,5781201,0.136
2020-02-03,TATAMOTORS,EQ,165.6,163.5,168.3,159.55,164.4,163.85,163.79,66616190,1091130230879999.9,311155,6577664,0.0987
2020-02-04,TATAMOTORS,EQ,163.85,166.55,168.6,161.2,166.35,165.7,165.32,49034642,810652560595000.0,224465,5286416,0.10779999999999999
2020-02-05,TATAMOTORS,EQ,165.7,167.4,184.95,166.6,183.4,183.75,177.48,92982265,1650239213400000.0,357445,9596603,0.1032
2020-02-06,TATAMOTORS,EQ,183.75,182.0,183.4,175.75,178.5,178.85,179.03,61821140,1106775726540000.0,256544,6854219,0.1109
2020-02-07,TATAMOTORS,EQ,178.85,177.4,178.15,173.0,173.5,173.6,175.19,45195760,791806688385000.0,180734,4124684,0.0913
2020-02-10,TATAMOTORS,EQ,173.6,173.2,173.2,168.0,169.0,168.9,169.44,33279372,563901335720000.0,155885,2887898,0.0868
2020-02-11,TATAMOTORS,EQ,168.9,171.85,175.15,168.4,170.05,169.75,172.5,42868276,739480632720000.0,170810,2296531,0.0536
2020-02-12,TATAMOTORS,EQ,169.75,173.0,173.3,169.0,171.1,170.95,170.83,34621395,591426273025000.0,136834,3698571,0.1068
2020-02-13,TATAMOTORS,EQ,170.95,171.35,172.35,168.1,169.65,169.5,169.7,25049848,425088216825000.0,99951,2886807,0.1152
2020-02-14,TATAMOTORS,EQ,169.5,172.0,176.2,168.3,169.65,169.1,172.52,56676430,977761778854999.9,233526,4898144,0.0864
2020-02-17,TATAMOTORS,EQ,169.1,170.4,171.35,166.35,170.0,169.1,168.83,32893274,555348116350000.0,142023,1753432,0.0533
2020-02-18,TATAMOTORS,EQ,169.1,168.0,168.0,158.6,162.55,161.6,162.25,52744122,855778634995000.0,208214,6956555,0.1319
2020-02-19,TATAMOTORS,EQ,161.6,162.85,164.6,153.05,158.1,158.05,157.33,78914233,1241543095840000.0,321799,6092001,0.0772
2020-02-20,TATAMOTORS,EQ,158.05,157.95,162.3,156.0,158.75,158.5,159.44,54328194,866215673175000.0,205410,4426122,0.0815
2020-02-24,TATAMOTORS,EQ,158.5,154.0,155.9,149.6,150.6,150.65,153.41,39706007,609144710790000.0,191095,5113467,0.1288
2020-02-25,TATAMOTORS,EQ,150.65,152.2,153.4,147.45,150.45,149.9,149.93,52719851,790405512155000.0,199104,2731271,0.0518
2020-02-26,TATAMOTORS,EQ,149.9,146.9,147.9,143.7,144.5,144.55,145.64,47605927,693310420795000.0,218833,4704279,0.09880000000000001
2020-02-27,TATAMOTORS,EQ,144.55,144.15,146.75,141.1,145.3,145.25,143.41,51328153,736120247630000.0,180842,6470073,0.1261
2020-02-28,TATAMOTORS,EQ,145.25,138.85,139.6,127.05,129.65,128.95,132.43,94469619,1251027608370000.0,341462,13132658,0.139
