Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,TCS,EQ,2161.7,2168.0,2183.9,2154.0,2170.0,2167.6,2170.54,1354908,294088238195000.0,44438,164490,0.12140000000000001
2020-01-02,TCS,EQ,2167.6,2179.95,2179.95,2149.2,2157.0,2157.65,2158.63,2380752,513915614305000.0,99242,1204079,0.5058
2020-01-03,TCS,EQ,2157.65,2164.0,2223.0,2164.0,2201.0,2200.65,2199.26,4655761,1023920639020000.1,123516,1833823,0.39390000000000003
2020-01-06,TCS,EQ,2200.65,2205.0,2225.95,2187.9,2201.35,2200.45,2204.89,3023209,666585530910000.0,135360,1000021,0.3308
2020-01-07,TCS,EQ,2200.45,2200.5,2214.65,2183.8,2205.0,2205.85,2203.53,2429317,535306359110000.06,95018,966753,0.39799999999999996
2020-01-08,TCS,EQ,2205.85,2205.0,2260.0,2202.05,2253.35,2255.25,2240.22,5197454,1164342434140000.0,172815,2288411,0.4403
2020-01-09,TCS,EQ,2255.25,2248.75,2251.95,2210.0,2220.0,2214.35,2223.77,3734173,830392406405000.0,134309,1805834,0.48360000000000003
2020-01-10,TCS,EQ,2214.35,2228.0,2234.0,2208.0,2213.0,2213.55,2219.51,1915807,425215030725000.0,102938,767417,0.4006
2020-01-13,TCS,EQ,2213.55,2217.85,2218.95,2184.7,2193.0,2190.35,2197.65,2843893,624987257810000.0,113645,1486327,0.5226
2020-01-14,TCS,EQ,2190.35,2195.0,2229.8,2195.0,2210.0,2206.9,2212.56,2948452,652362159830000.0,132106,1276382,0.4329
2020-01-15,TCS,EQ,2206.9,2213.0,2231.0,2194.2,2225.05,2226.9,2212.65,2620681,579864464170000.0,114594,1513859,0.5777
2020-01-16,TCS,EQ,2226.9,2226.95,2249.0,2215.0,2240.0,2238.8,2235.81,3117214,696948335910000.0,113056,1736185,0.557
2020-01-17,TCS,EQ,2238.8,2240.75,2253.55,2213.0,2220.0,2219.1,2232.37,3281059,732455006520000.0,123528,1603410,0.48869999999999997
2020-01-20,TCS,EQ,2219.1,2194.9,2242.2,2156.2,2174.0,2170.35,2182.48,5817599,1269679797685000.0,216725,2321286,0.399
2020-01-21,TCS,EQ,2170.35,2169.95,2186.55,2158.05,2172.35,2171.05,2170.95,1902980,413126851160000.0,115866,865491,0.4548
2020-01-22,TCS,EQ,2171.05,2181.0,2210.0,2173.7,2209.8,2206.9,2198.89,1773686,390013786320000.0,109240,782190,0.441
2020-01-23,TCS,EQ,2206.9,2209.8,2217.75,2183.7,2188.0,2190.95,2200.81,2069866,455538334035000.06,110107,1214278,0.5866
2020-01-24,TCS,EQ,2190.95,2190.95,2190.95,2170.0,2185.0,2183.4,2179.72,1319430,287598802870000.0,55949,607438,0.4604
2020-01-27,TCS,EQ,2183.4,2189.7,2193.45,2165.0,2168.3,2169.25,2172.99,1549101,336618786230000.0,62160,771303,0.4979
2020-01-28,TCS,EQ,2169.25,2174.0,2187.8,2152.0,2183.8,2183.75,2169.48,1743024,378145413255000.0,79762,906541,0.5201
2020-01-29,TCS,EQ,2183.75,2185.0,2186.95,2150.0,2154.0,2154.6,2164.12,2306761,499211593485000.06,88479,1307797,0.5669
2020-01-30,TCS,EQ,2154.6,2160.0,2165.0,2125.0,2134.65,2137.85,2140.26,2098567,449148711550000.0,88883,1056509,0.5034000000000001
2020-01-31,TCS,EQ,2137.85,2139.4,2144.35,2071.6,2082.4,2079.05,2098.15,3287223,689709227270000.0,131558,2194449,0.6676000000000001
2020-02-01,TCS,EQ,2079.05,2079.5,2180.7,2063.6,2167.5,2164.85,2129.7,3319716,707000790045000.0,112061,1798795,0.5418999999999999
2020-02-03,TCS,EQ,2164.85,2152.0,2194.7,2093.2,2110.0,2102.5,2136.37,4728073,1010091256845000.1,194574,2519349,0.5328
2020-02-04,TCS,EQ,2102.5,2129.0,2136.7,2086.6,2111.95,2107.75,2111.28,3509339,740920726395000.0,130941,1569247,0.4472
2020-02-05,TCS,EQ,2107.75,2115.0,2156.7,2104.3,2147.5,2146.55,2136.16,2439322,521079195060000.06,132082,1373557,0.5631
