Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,WIPRO,EQ,245.8,246.5,248.65,246.2,247.65,247.7,247.76,1413866,35029336305000.0,14240,288194,0.20379999999999998
2020-01-02,WIPRO,EQ,247.7,246.6,249.9,246.35,248.35,248.3,248.39,1443966,35867069990000.0,19476,592368,0.41020000000000006
2020-01-03,WIPRO,EQ,248.3,249.5,252.7,247.35,251.0,251.1,250.99,3381404,84868899510000.0,38677,801622,0.2371
2020-01-06,WIPRO,EQ,251.1,251.0,254.45,250.15,251.95,252.15,252.4,4566695,115263670384999.98,42374,1618322,0.3544
2020-01-07,WIPRO,EQ,252.15,253.25,256.35,250.2,255.0,255.2,254.01,4402787,111833001790000.02,39798,1499975,0.3407
2020-01-08,WIPRO,EQ,255.2,254.0,256.15,252.55,254.6,254.8,254.57,2794410,71137562145000.0,33853,975070,0.3489
2020-01-09,WIPRO,EQ,254.8,254.25,256.5,252.65,255.0,253.65,254.33,2495023,63455235935000.0,28366,885016,0.3547
2020-01-10,WIPRO,EQ,253.65,253.95,255.2,251.0,251.95,251.75,253.15,2056577,52062189615000.0,31607,827981,0.4026
2020-01-13,WIPRO,EQ,251.75,254.0,257.9,252.85,255.3,254.8,255.37,6963599,177826237490000.0,56180,2651477,0.38079999999999997
2020-01-14,WIPRO,EQ,254.8,256.85,258.35,254.55,256.0,257.2,256.53,7296777,187185031720000.0,62567,2040677,0.2797
2020-01-15,WIPRO,EQ,257.2,254.0,256.0,246.6,248.2,248.25,248.86,10140451,252354200180000.03,82450,2235509,0.2205
2020-01-16,WIPRO,EQ,248.25,248.0,252.6,247.0,250.3,250.45,250.14,8811836,220419248580000.03,63303,4702404,0.5336
2020-01-17,WIPRO,EQ,250.45,252.0,253.9,249.65,250.85,251.1,251.84,4140818,104282212495000.0,38092,1785570,0.43119999999999997
2020-01-20,WIPRO,EQ,251.1,250.8,250.8,247.2,248.2,248.0,248.48,1908583,47425061565000.0,19877,541644,0.2838
2020-01-21,WIPRO,EQ,248.0,247.9,248.2,246.0,246.85,247.1,247.13,1507942,37266122600000.0,26134,599581,0.3976
2020-01-22,WIPRO,EQ,247.1,248.6,251.95,245.4,246.4,245.85,247.89,3400424,84294767730000.0,51607,1348075,0.39640000000000003
2020-01-23,WIPRO,EQ,245.85,246.45,249.1,245.35,248.95,248.7,247.73,1696544,42028252400000.0,30500,741567,0.43710000000000004
2020-01-24,WIPRO,EQ,248.7,248.65,249.45,246.25,247.75,247.6,248.0,1710777,42427007140000.0,23039,593224,0.3468
2020-01-27,WIPRO,EQ,247.6,247.9,247.9,244.75,245.2,245.35,245.52,1653497,40596852025000.0,19616,692324,0.41869999999999996
2020-01-28,WIPRO,EQ,245.35,245.9,246.1,241.8,244.0,244.05,243.42,2136181,51998366235000.0,38147,812178,0.38020000000000004
2020-01-29,WIPRO,EQ,244.05,244.6,247.4,243.25,246.3,246.75,246.22,2004689,49360090615000.0,33122,977511,0.4876
2020-01-30,WIPRO,EQ,246.75,247.6,247.6,240.2,240.95,240.7,242.41,2147465,52055748315000.0,29602,1001778,0.46649999999999997
2020-01-31,WIPRO,EQ,240.7,238.0,239.15,235.0,236.5,236.8,236.84,5553638,131529945475000.0,58779,2563367,0.46159999999999995
2020-02-01,WIPRO,EQ,236.8,236.5,239.35,234.3,237.15,236.8,236.5,2100563,49677839280000.0,20180,554095,0.2638
2020-02-03,WIPRO,EQ,236.8,237.7,240.15,235.25,236.8,237.4,237.39,4231830,100457485075000.0,47901,2279484,0.5387
2020-02-04,WIPRO,EQ,237.4,239.0,241.25,237.9,240.55,240.25,239.57,3164756,75819223020000.0,36774,1765229,0.5578000000000001
2020-02-05,WIPRO,EQ,240.25,241.6,243.0,237.3,242.4,242.25,240.58,3875603,93240890515000.0,44897,2147661,0.5540999999999999
2020-02-06,WIPRO,EQ,242.25,242.75,245.95,241.65,243.65,243.65,243.87,3056198,74532870470000.0,32387,1501140,0.49119999999999997
2020-02-07,WIPRO,EQ,243.65,247.0,247.0,242.95,243.55,243.95,244.49,2759512,67466503545000.01,31057,1013202,0.36719999999999997
2020-02-10,WIPRO,EQ,243.95,245.4,245.65,239.45,241.25,240.9,241.01,2258996,54444700965000.0,25746,1153023,0.5104
2020-02-11,WIPRO,EQ,240.9,240.55,242.9,239.8,241.15,241.25,241.15,2730310,65842652475000.0,29387,1586816,0.5811999999999999
2020-02-12,WIPRO,EQ,241.25,241.7,247.15,241.7,244.7,244.45,244.84,3419400,83722085085000.0,30707,1492305,0.4364
2020-02-13,WIPRO,EQ,244.45,245.8,245.8,242.5,243.7,243.75,243.73,2414955,58860695985000.0,23979,1249136,0.5173
